Well	Sample	Virus	Variant	Target	Reference	Droplets	Genomes	perCell	Experiment
G08	CrERV-wt	CrERV	wt	14	4760	6964	2380	0.00588235294117647	E2
G09	CrERV-wt	CrERV	wt	46	5060	8263	2530	0.0181818181818182	E2
A01	K562	K562	CTRL	0	4340	7910	2170	0	E4
A02	CrERV-W390A	CrERV	W390A	0	5340	9777	2670	0	E4
A03	KoRV-W390A	KoRV	W390A	4.6	4440	10352	2220	0.00207207207207207	E4
A04	SNV-W390A	SNV	W390A	8	120	8853	60	0.133333333333333	E4
A05	FeLV-wt	FeLV	wt	288	5980	9600	2990	0.0963210702341137	E4
A06	MoMLV-wt	MoMLV	wt	106	3640	7364	1820	0.0582417582417582	E4
B01	K562	K562	CTRL	0	4280	8949	2140	0	E4
B02	CrERV-CBX	CrERV	CBX	3.6	5600	12733	2800	0.00128571428571429	E4
B03	KoRV-W390A	KoRV	W390A	18	4160	11467	2080	0.00865384615384615	E4
B04	SNV-W390A	SNV	W390A	10	146	9377	73	0.136986301369863	E4
B05	FeLV-W390A	FeLV	W390A	168	3200	7406	1600	0.105	E4
B06	MoMLV-wt	MoMLV	wt	122	3480	8753	1740	0.0701149425287356	E4
C01	K562	K562	CTRL	0	4300	8347	2150	0	E4
C02	CrERV-CBX	CrERV	CBX	1.8	5760	13348	2880	0.000625	E4
C03	KoRV-CBX	KoRV	CBX	3.2	228	14625	114	0.0280701754385965	E4
C04	SNV-W390A	SNV	W390A	22	184	10360	92	0.239130434782609	E4
C05	FeLV-W390A	FeLV	W390A	188	3740	12985	1870	0.100534759358289	E4
C06	MoMLV-W390A	MoMLV	W390A	346	5200	10710	2600	0.133076923076923	E4
D01	CrERV-wt	CrERV	wt	2.6	7140	9115	3570	0.000728291316526611	E4
D02	CrERV-CBX	CrERV	CBX	0	5540	13548	2770	0	E4
D03	KoRV-CBX	KoRV	CBX	0	0	11434	0	0	E4
D04	SNV-CBX	SNV	CBX	1120	3820	9859	1910	0.586387434554974	E4
D05	FeLV-W390A	FeLV	W390A	170	3320	11366	1660	0.102409638554217	E4
D06	MoMLV-W390A	MoMLV	W390A	322	4820	7584	2410	0.133609958506224	E4
E01	CrERV-wt	CrERV	wt	0	6080	7885	3040	0	E4
E02	KoRV-wt	KoRV	wt	22	7080	13196	3540	0.00621468926553672	E4
E03	KoRV-CBX	KoRV	CBX	0	492	14588	246	0	E4
E04	SNV-CBX	SNV	CBX	1102	4100	10631	2050	0.537560975609756	E4
E05	FeLV-CBX	FeLV	CBX	376	4620	13085	2310	0.162770562770563	E4
E06	MoMLV-W390A	MoMLV	W390A	320	5120	9914	2560	0.125	E4
F01	CrERV-wt	CrERV	wt	4.4	6300	10675	3150	0.0013968253968254	E4
F02	KoRV-wt	KoRV	wt	16	5940	14157	2970	0.00538720538720539	E4
F03	SNV-wt	SNV	wt	84	3580	15175	1790	0.046927374301676	E4
F04	SNV-CBX	SNV	CBX	1104	3860	12453	1930	0.572020725388601	E4
F05	FeLV-CBX	FeLV	CBX	388	4520	12929	2260	0.171681415929204	E4
F06	MoMLV-CBX	MoMLV	CBX	302	4560	10795	2280	0.132456140350877	E4
G01	CrERV-W390A	CrERV	W390A	2	6340	11991	3170	0.000630914826498423	E4
G02	KoRV-wt	KoRV	wt	16	7160	13618	3580	0.00446927374301676	E4
G03	SNV-wt	SNV	wt	78	3400	15116	1700	0.0458823529411765	E4
G04	FeLV-wt	FeLV	wt	336	6100	8811	3050	0.11016393442623	E4
G05	FeLV-CBX	FeLV	CBX	416	4800	13330	2400	0.173333333333333	E4
G06	MoMLV-CBX	MoMLV	CBX	322	4760	9339	2380	0.135294117647059	E4
H01	CrERV-W390A	CrERV	W390A	0	5620	10073	2810	0	E4
H02	KoRV-W390A	KoRV	W390A	16	4480	12075	2240	0.00714285714285714	E4
H03	SNV-wt	SNV	wt	88	3140	12181	1570	0.0560509554140127	E4
H04	FeLV-wt	FeLV	wt	286	7140	10442	3570	0.0801120448179272	E4
H05	MoMLV-wt	MoMLV	wt	120	3620	12601	1810	0.0662983425414365	E4
H06	MoMLV-CBX	MoMLV	CBX	440	4820	11703	2410	0.182572614107884	E4
A07	KM_4E4	KM_4E4	CTRL	350	694	14262	347	1.00864553314121	E4
C07	KM_4E4	KM_4E4	CTRL	356	720	12612	360	0.988888888888889	E4
B07	KM_4E4	KM_4E4	CTRL	418	708	13471	354	1.18079096045198	E4
